time,last,Tc,q
31.46,0,270,12
31.56,0,270,12
31.66,0,270,12
31.76,0,270,12
31.86,0,270,12
31.96,0,270,12
32.06,0,270,12
32.16,0,270,12
32.26,0,270,12
32.36,0,270,12
32.46,0,270,12
32.56,0,270,12
32.66,0,270,12
32.76,0,270,12
32.86,0,270,12
32.96,0,270,12
33.06,0,270,12
33.16,0,270,12
33.26,0,270,12
33.36,0,250,12
33.46,0,250,12
33.56,0,250,12
33.66,0,250,12
33.76,0,250,12
33.86,0,250,12
33.96,0,250,12
34.06,0,250,12
34.16,0,250,12
34.26,0,250,12
34.36,0,250,12
34.46,0,250,12
34.56,0,250,12
34.66,0,250,12
34.76,0,250,12
34.86,0,250,12
34.96,0,250,12
35.06,0,250,12
35.16,0,250,12
35.26,0,250,12
35.36,0,250,12
35.46,0,250,12
35.56,0,250,12
35.66,0,250,12
35.76,0,250,12
35.86,0,250,12
35.97,0,250,11
36.09,0,250,10
36.22,0,250,9
36.36,0,250,8
36.51,0,250,7
36.67,0,250,6
36.83,0,250,6
36.99,0,250,6
37.15,0,250,6
37.31,0,250,6
37.47,0,250,6
37.63,0,250,6
37.79,0,250,6
37.95,0,250,6
38.11,0,250,6
38.27,0,250,6
38.43,0,250,6
38.59,0,250,6
38.75,0,250,6
38.91,0,250,6
39.07,0,250,6
39.23,0,250,6
39.39,0,250,6
39.55,0,250,6
39.71,0,250,6
39.87,0,250,6
40.03,0,250,6
40.19,0,250,6
40.35,0,250,6
40.51,0,250,6
40.67,0,250,6
40.83,0,250,6
40.99,0,250,6
41.15,0,250,6
41.31,0,250,6
41.47,0,250,6
41.63,0,250,6
41.79,0,250,6
41.95,0,250,6
42.11,0,250,6
42.27,0,250,6
42.43,0,250,6
42.59,0,250,6
42.75,0,250,6
42.91,0,250,6
43.07,0,250,6
43.23,0,250,6
43.39,0,250,6
43.55,0,250,6
43.71,0,250,6
43.87,0,250,6
44.02,0,250,7
44.16,0,250,8
44.29,0,250,9
44.41,0,250,10
44.52,0,250,11
44.62,0,250,12
44.72,0,250,12
44.82,0,250,12
44.92,0,250,12
45.02,0,250,12
45.12,0,250,12
45.22,0,250,12
45.32,0,250,12
45.42,0,250,12
45.52,0,250,12
45.62,0,250,12
45.72,0,250,12
45.82,0,250,12
45.92,0,250,12
46.02,0,250,12
46.12,0,250,12
46.22,0,250,12
46.32,0,250,12
46.42,0,250,12
46.52,0,250,12
46.62,0,250,12
46.72,0,250,12
46.82,0,250,12
46.92,0,250,12
47.02,0,250,12
47.12,0,250,12
47.22,0,250,12
47.32,0,250,12
47.42,0,250,12
47.52,0,250,12
47.62,0,250,12
47.72,0,250,12
47.82,0,250,12
47.92,0,250,12
48,0,250,12
