time, 0.00          ,   1.000000E-01,   2.000000E-01,   4.000000E-01,   8.000000E-01,   1.600000E+00,   3.000000E+00,   6.000000E+00,   1.200000E+01,   1.800000E+01,   2.400000E+01,   3.200000E+01,   4.000000E+01,   5.000000E+01
pi,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00,   3.141500E+00
r,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00
h,   2.000000E+00,   2.037956E+00,   2.075432E+00,   2.148965E+00,   2.290521E+00,   2.552824E+00,   2.951962E+00,   3.599767E+00,   4.340968E+00,   4.689821E+00,   4.854012E+00,   4.946222E+00,   4.980190E+00,   4.994279E+00
