time, 0.00          ,   2.000000E+00,   4.000000E+00,   6.000000E+00,   8.000000E+00,   1.000000E+01,   1.200000E+01,   1.400000E+01,   1.600000E+01,   1.800000E+01,   2.000000E+01,   2.200000E+01,   2.400000E+01,   2.600000E+01,   2.800000E+01,   3.000000E+01,   4.000000E+01,   5.000000E+01,   6.000000E+01,   7.000000E+01,   8.000000E+01,   1.000000E+02,   1.200000E+02
m,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00,   3.000000E+00
cp,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00,   4.180000E+00
q, 0.00          ,   2.853333E-01,   5.706667E-01,   8.560000E-01,   1.141333E+00,   1.426667E+00,   1.712000E+00,   1.997333E+00,   2.282667E+00,   2.568000E+00,   2.853333E+00,   3.138667E+00,   3.424000E+00,   3.709333E+00,   3.994667E+00,   4.280000E+00,   4.280000E+00,   4.280000E+00,   4.280000E+00,   4.280000E+00,   4.280000E+00,   4.280000E+00,   4.280000E+00
t,   1.800000E+01,   1.800000E+01,   1.804551E+01,   1.813652E+01,   1.827305E+01,   1.845508E+01,   1.868262E+01,   1.895566E+01,   1.927422E+01,   1.963828E+01,   2.004785E+01,   2.050292E+01,   2.100351E+01,   2.154960E+01,   2.214120E+01,   2.277831E+01,   2.619139E+01,   2.960447E+01,   3.301754E+01,   3.643062E+01,   3.984370E+01,   4.666986E+01,   5.349601E+01
